epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,28141.8,0.88537,0.63038,1.11428,0.77773,0.66205,0.69717,0.44836,1.38751,1.19872,1.40709,0.000248577,0.000248577,0.000248577
103,28418.9,0.87235,0.62055,1.11024,0.7766,0.66399,0.69725,0.4487,1.38723,1.19953,1.40751,0.000239766,0.000239766,0.000239766
104,28694.8,0.86791,0.60635,1.10635,0.78064,0.66151,0.69713,0.44901,1.38692,1.19872,1.408,0.000231071,0.000231071,0.000231071
105,28969.9,0.86246,0.60974,1.10431,0.78171,0.66137,0.69724,0.44925,1.38678,1.19895,1.4084,0.000222497,0.000222497,0.000222497
106,29246.4,0.86097,0.60636,1.10467,0.78258,0.66122,0.69743,0.45013,1.38688,1.19905,1.40915,0.000214046,0.000214046,0.000214046
107,29523.5,0.85833,0.60716,1.10253,0.78117,0.6614,0.69758,0.44988,1.38726,1.20119,1.40982,0.000205723,0.000205723,0.000205723
108,29801.3,0.85445,0.60288,1.10055,0.78173,0.66066,0.69753,0.45045,1.38759,1.20138,1.41052,0.000197532,0.000197532,0.000197532
109,30076.3,0.85046,0.59968,1.09803,0.77436,0.66463,0.69724,0.45056,1.38784,1.20175,1.41101,0.000189475,0.000189475,0.000189475
110,30352.2,0.8449,0.58941,1.08997,0.77536,0.66427,0.69718,0.45088,1.38764,1.20185,1.41129,0.000181557,0.000181557,0.000181557
111,30630.2,0.84921,0.60029,1.09827,0.77198,0.66642,0.69744,0.45124,1.38759,1.20263,1.41189,0.00017378,0.00017378,0.00017378
112,30906.4,0.84625,0.59697,1.09621,0.77245,0.66759,0.69797,0.4516,1.38789,1.20208,1.41292,0.000166149,0.000166149,0.000166149
113,31181.6,0.84232,0.59378,1.09313,0.77179,0.66771,0.69778,0.45139,1.38791,1.20228,1.41354,0.000158667,0.000158667,0.000158667
114,31456.1,0.83738,0.58555,1.08713,0.77197,0.66668,0.69743,0.45186,1.38814,1.20322,1.41425,0.000151336,0.000151336,0.000151336
115,31733,0.83802,0.58608,1.08818,0.771,0.66555,0.69719,0.45185,1.38816,1.20311,1.41507,0.000144161,0.000144161,0.000144161
116,32004.7,0.83631,0.58835,1.08851,0.77283,0.66554,0.69713,0.45196,1.38808,1.20385,1.41535,0.000137143,0.000137143,0.000137143
117,32279.9,0.83295,0.58688,1.08959,0.77021,0.66565,0.69698,0.45227,1.38864,1.20372,1.41643,0.000130287,0.000130287,0.000130287
118,32557.3,0.82988,0.5774,1.08445,0.77111,0.66606,0.69662,0.4521,1.38916,1.20415,1.41714,0.000123596,0.000123596,0.000123596
119,32832.3,0.82599,0.57963,1.08376,0.77193,0.66594,0.6966,0.45182,1.38934,1.20511,1.41774,0.000117072,0.000117072,0.000117072
120,33106.7,0.82756,0.58068,1.08387,0.77349,0.66488,0.69654,0.45185,1.38919,1.20551,1.41827,0.000110718,0.000110718,0.000110718
121,33380.6,0.81874,0.57412,1.07944,0.77343,0.66476,0.69627,0.45151,1.38983,1.207,1.41893,0.000104537,0.000104537,0.000104537
122,33652.4,0.82406,0.57394,1.08158,0.77279,0.66346,0.69595,0.45185,1.38989,1.20841,1.41906,9.85311e-05,9.85311e-05,9.85311e-05
123,33925.3,0.81801,0.56841,1.07638,0.77266,0.66233,0.696,0.45169,1.39041,1.20917,1.42022,9.2704e-05,9.2704e-05,9.2704e-05
124,34198.1,0.81873,0.57268,1.07599,0.77773,0.66231,0.6961,0.45186,1.39052,1.20866,1.42027,8.70577e-05,8.70577e-05,8.70577e-05
125,34470.4,0.81232,0.56156,1.07517,0.77886,0.66143,0.6959,0.45224,1.39078,1.20914,1.42074,8.15947e-05,8.15947e-05,8.15947e-05
126,34745.4,0.81324,0.56287,1.07415,0.77764,0.66135,0.69583,0.45244,1.39108,1.20921,1.42149,7.63174e-05,7.63174e-05,7.63174e-05
127,35021.7,0.80583,0.55574,1.07287,0.7766,0.66272,0.69614,0.45232,1.39095,1.20971,1.42145,7.12282e-05,7.12282e-05,7.12282e-05
128,35296.6,0.80242,0.55983,1.07009,0.77424,0.66397,0.69591,0.45226,1.391,1.20945,1.42196,6.63292e-05,6.63292e-05,6.63292e-05
129,35571.6,0.80504,0.56271,1.07595,0.77587,0.665,0.69733,0.45256,1.39126,1.20968,1.42256,6.16227e-05,6.16227e-05,6.16227e-05
130,35847.1,0.80929,0.56479,1.07702,0.77445,0.66547,0.69718,0.45258,1.39134,1.20952,1.42281,5.71106e-05,5.71106e-05,5.71106e-05
131,36123.6,0.8085,0.56078,1.0742,0.77577,0.66591,0.69789,0.45244,1.39222,1.21108,1.42386,5.2795e-05,5.2795e-05,5.2795e-05
132,36397.1,0.79878,0.55463,1.06697,0.7718,0.6672,0.69778,0.4525,1.39247,1.21114,1.42431,4.86777e-05,4.86777e-05,4.86777e-05
133,36672.1,0.80455,0.55675,1.0689,0.7743,0.66609,0.6977,0.45235,1.39302,1.21042,1.42496,4.47606e-05,4.47606e-05,4.47606e-05
134,36944.3,0.80116,0.55569,1.06808,0.77383,0.66619,0.69745,0.45281,1.39307,1.21024,1.42532,4.10454e-05,4.10454e-05,4.10454e-05
135,37225.5,0.80559,0.55494,1.07203,0.77526,0.66415,0.69707,0.45246,1.39354,1.21036,1.42569,3.75337e-05,3.75337e-05,3.75337e-05
136,37501.5,0.80276,0.55666,1.06859,0.77251,0.66602,0.6972,0.45223,1.39379,1.21049,1.42628,3.4227e-05,3.4227e-05,3.4227e-05
137,37775.7,0.79863,0.54983,1.06884,0.77382,0.665,0.69677,0.45271,1.39357,1.21012,1.42645,3.11268e-05,3.11268e-05,3.11268e-05
138,38056.2,0.80071,0.55378,1.06948,0.77244,0.66475,0.69705,0.45267,1.39359,1.21035,1.42667,2.82345e-05,2.82345e-05,2.82345e-05
139,38334.1,0.7971,0.55235,1.06706,0.77243,0.66443,0.69633,0.45282,1.3934,1.21053,1.42688,2.55513e-05,2.55513e-05,2.55513e-05
140,38612.2,0.79872,0.55303,1.06861,0.77198,0.66363,0.69601,0.45242,1.39381,1.21084,1.42791,2.30784e-05,2.30784e-05,2.30784e-05
141,38885.8,0.75874,0.44397,1.02626,0.77073,0.66464,0.6959,0.45223,1.39472,1.21131,1.42852,2.08169e-05,2.08169e-05,2.08169e-05
142,39155.1,0.74512,0.42397,1.02279,0.77277,0.66476,0.69552,0.45222,1.39486,1.21096,1.42858,1.87678e-05,1.87678e-05,1.87678e-05
143,39423.8,0.72642,0.4101,1.01157,0.77005,0.66602,0.69543,0.45217,1.3954,1.21181,1.42933,1.6932e-05,1.6932e-05,1.6932e-05
144,39690.2,0.72509,0.40858,1.01185,0.76814,0.66828,0.69542,0.45237,1.39629,1.21289,1.43066,1.53102e-05,1.53102e-05,1.53102e-05
145,39960.6,0.73006,0.41182,1.01229,0.76764,0.66799,0.69549,0.45216,1.3968,1.21294,1.43138,1.39032e-05,1.39032e-05,1.39032e-05
146,40228.2,0.72387,0.40503,1.01342,0.76737,0.66819,0.69539,0.45212,1.39665,1.21302,1.43152,1.27117e-05,1.27117e-05,1.27117e-05
147,40498.3,0.71949,0.4073,1.01211,0.76747,0.66749,0.6951,0.45288,1.39708,1.21315,1.43178,1.1736e-05,1.1736e-05,1.1736e-05
148,40769.8,0.71865,0.40302,1.00897,0.7681,0.66589,0.69498,0.45268,1.397,1.21312,1.43147,1.09768e-05,1.09768e-05,1.09768e-05
149,41037.3,0.71544,0.39963,1.00744,0.76856,0.66595,0.69495,0.45267,1.39721,1.21308,1.43211,1.04342e-05,1.04342e-05,1.04342e-05
150,41308.6,0.71287,0.40206,1.00701,0.77075,0.66635,0.69501,0.4523,1.3976,1.2137,1.4325,1.01086e-05,1.01086e-05,1.01086e-05
