epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,8066.32,0.96505,0.68843,1.14856,0.80139,0.6652,0.66944,0.38295,1.78807,1.21058,2.19332,0.000317,0.000317,0.000317
87,8161.35,0.98073,0.6938,1.15056,0.80057,0.66397,0.66534,0.3862,1.77422,1.21857,2.20673,0.0002972,0.0002972,0.0002972
88,8253.13,0.96326,0.67072,1.14435,0.79371,0.67603,0.66926,0.3845,1.78321,1.17377,2.21347,0.0002774,0.0002774,0.0002774
89,8344.5,0.9439,0.66123,1.1326,0.80449,0.66515,0.6689,0.38645,1.77977,1.19762,2.22327,0.0002576,0.0002576,0.0002576
90,8438.17,0.93875,0.65729,1.12432,0.79545,0.67309,0.66634,0.38377,1.7881,1.18036,2.22551,0.0002378,0.0002378,0.0002378
91,8532.72,0.83873,0.4866,1.08502,0.78856,0.65924,0.64645,0.37683,1.82579,1.25458,2.29011,0.000218,0.000218,0.000218
92,8624.91,0.83274,0.47435,1.07356,0.79064,0.67587,0.66249,0.38565,1.7914,1.18936,2.26189,0.0001982,0.0001982,0.0001982
93,8715,0.80422,0.45998,1.05711,0.80826,0.66294,0.67191,0.39197,1.78003,1.17583,2.26298,0.0001784,0.0001784,0.0001784
94,8805.91,0.79781,0.44881,1.05455,0.79179,0.68617,0.68089,0.39707,1.78005,1.15933,2.26232,0.0001586,0.0001586,0.0001586
95,8897.91,0.77753,0.43882,1.0501,0.79594,0.68044,0.68053,0.39666,1.78389,1.15513,2.26648,0.0001388,0.0001388,0.0001388
96,8988.22,0.7694,0.43847,1.04124,0.81107,0.66632,0.67351,0.39442,1.79632,1.17196,2.29707,0.000119,0.000119,0.000119
97,9078.74,0.78082,0.43996,1.04808,0.80262,0.68338,0.68369,0.39993,1.76873,1.15393,2.26606,9.92e-05,9.92e-05,9.92e-05
98,9172.1,0.7884,0.44779,1.04702,0.79891,0.67603,0.67275,0.39447,1.77509,1.16315,2.28182,7.94e-05,7.94e-05,7.94e-05
99,9262.26,0.77128,0.43651,1.0511,0.80441,0.67574,0.67781,0.39701,1.77154,1.1522,2.28049,5.96e-05,5.96e-05,5.96e-05
100,9353.87,0.75911,0.43334,1.03509,0.79757,0.68074,0.67994,0.39872,1.76,1.1515,2.26418,3.98e-05,3.98e-05,3.98e-05
